"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4"
"Punjabi Rajma Chawal","punjabi-rajma-chawal","<p><strong>KwikMeal Fresh Punjabi Rajma Chawal is made with aromatic basmati rice to deliver the traditional taste of Rajma Chawal. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Aromatic basmati rice</li>
  <li>Kidney-bean curry</li>
  <li>Mild heat</li>
  <li>Vegetarian</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
  <li>Ovenable fiber tray</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Kidney Beans, Water, Fresh Tomato, Canola Oil, Onion, Garlic, Ginger, Ghee, Salt, Spices.</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 450</li>
  <li><strong>Protein:</strong> 12 g</li>
  <li><strong>Heat Level:</strong> Mild</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Aromatic basmati rice, Kidney-bean curry, Mild heat, Vegetarian, No preservatives, No additives, No added color, Ovenable fiber tray","FALSE","DRAFT","KM-FHE-punjabi-rajma-chawal","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Chicken Biryani","chicken-biryani","<p><strong>KwikMeal Fresh Chicken Biryani is prepared with basmati rice, chicken, yogurt, ghee, aromatic spices, kewra extract, saffron, and hard-boiled egg for an authentic biryani experience.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Basmati rice</li>
  <li>Chicken</li>
  <li>Hard-boiled egg</li>
  <li>Kewra extract</li>
  <li>Saffron</li>
  <li>Mild heat</li>
  <li>High-protein badge</li>
  <li>Contains dairy</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Chicken, Yogurt, Water, Hard Boiled Egg, Onion, Pure Ghee, Garlic, Ginger, Kewra Extract, Milk, Spices, Saffron.</p>

<h3>Allergens</h3>
<p>Dairy</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 600</li>
  <li><strong>Protein:</strong> 30 g</li>
  <li><strong>Heat Level:</strong> Mild</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Non-Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Basmati rice, Chicken, Hard-boiled egg, Kewra extract, Saffron, Mild heat, High-protein badge, Contains dairy, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-chicken-biryani","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Slow-Cooked Dal Makhani & Basmati Rice","slow-cooked-dal-makhani-and-basmati-rice","<p><strong>KwikMeal Fresh Dal Makhani has been slow-cooked to deliver an authentic taste. Combined with aromatic basmati rice, it makes a delicious meal. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Slow-cooked dal makhani</li>
  <li>Urad dal and rajma</li>
  <li>Aromatic basmati rice</li>
  <li>Mild heat</li>
  <li>Vegetarian</li>
  <li>Contains dairy</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Urad Dal, Rajma, Water, Fresh Tomato, Tomato Puree, Butter, Onion, Garlic, Ginger, Ghee, Cream, Salt, Spices.</p>

<h3>Allergens</h3>
<p>Dairy</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 660</li>
  <li><strong>Protein:</strong> 18 g</li>
  <li><strong>Heat Level:</strong> Mild</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Slow-cooked dal makhani, Urad dal and rajma, Aromatic basmati rice, Mild heat, Vegetarian, Contains dairy, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-slow-cooked-dal-makhani-and-basmati-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Egg Curry & Basmati Rice","egg-curry-and-basmati-rice","<p><strong>Enjoy homestyle KwikMeal Fresh Egg Curry & Rice. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Homestyle egg curry</li>
  <li>Basmati rice</li>
  <li>Medium heat</li>
  <li>Cage-free Grade A white eggs</li>
  <li>High-protein badge</li>
  <li>Contains dairy</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Water, Boiled Eggs, Tomato, Tomato Puree, Yogurt, Onion, Garlic, Ginger, Canola Oil, Ghee, Spices, Salt.</p>

<h3>Allergens</h3>
<p>Dairy</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 825</li>
  <li><strong>Protein:</strong> 22 g</li>
  <li><strong>Heat Level:</strong> Medium</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Non-Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Homestyle egg curry, Basmati rice, Medium heat, Cage-free Grade A white eggs, High-protein badge, Contains dairy, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-egg-curry-and-basmati-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Butter Paneer Masala & Basmati Rice","butter-paneer-masala-and-basmati-rice","<p><strong>KwikMeal Fresh Butter Paneer Masala is made in an authentic style to deliver the traditional taste of butter paneer masala. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Paneer in a creamy tomato-based masala</li>
  <li>Basmati rice</li>
  <li>Mild heat</li>
  <li>Vegetarian</li>
  <li>High-protein badge</li>
  <li>Contains dairy and cashew nuts</li>
  <li>Product of USA</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Paneer, Water, Fresh Tomato, Tomato Puree, Cashew Nuts, Yogurt, Canola Oil, Butter, Onion, Garlic, Ginger, Cream, Ghee, Salt, Spices.</p>

<h3>Allergens</h3>
<p>Dairy, Cashew Nuts</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 700</li>
  <li><strong>Protein:</strong> 27 g</li>
  <li><strong>Heat Level:</strong> Mild</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Paneer in a creamy tomato-based masala, Basmati rice, Mild heat, Vegetarian, High-protein badge, Contains dairy and cashew nuts, Product of USA, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-butter-paneer-masala-and-basmati-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Hyderabadi Paneer Biryani","hyderabadi-paneer-biryani","<p><strong>KwikMeal Fresh Hyderabadi Paneer Biryani is prepared in an authentic style to deliver the traditional taste. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Basmati rice</li>
  <li>Paneer</li>
  <li>Kewra extract</li>
  <li>Mint leaves</li>
  <li>Saffron</li>
  <li>Mild-to-medium heat</li>
  <li>100% vegetarian</li>
  <li>Contains dairy</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Paneer, Yogurt, Water, Onion, Pure Ghee, Garlic, Ginger, Kewra Extract, Milk, Spices, Mint Leaves, Saffron.</p>

<h3>Allergens</h3>
<p>Dairy</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 500</li>
  <li><strong>Protein:</strong> 20 g</li>
  <li><strong>Heat Level:</strong> Mild/Medium</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Basmati rice, Paneer, Kewra extract, Mint leaves, Saffron, Mild-to-medium heat, 100% vegetarian, Contains dairy, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-hyderabadi-paneer-biryani","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Restaurant-Style Paneer Masala & Basmati Rice","restaurant-style-paneer-masala-and-basmati-rice","<p><strong>Enjoy KwikMeal Restaurant-Style Rice and Paneer Masala, made in an authentic style to provide a gourmet taste. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Restaurant-style paneer masala</li>
  <li>Basmati rice</li>
  <li>Medium heat</li>
  <li>Vegetarian</li>
  <li>High-protein badge</li>
  <li>Contains dairy and cashew nuts</li>
  <li>Product of USA</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Paneer, Water, Fresh Tomato, Tomato Puree, Cashew Nuts, Yogurt, Canola Oil, Onion, Garlic, Ginger, Ghee, Salt, Spices.</p>

<h3>Allergens</h3>
<p>Dairy, Cashew Nuts</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 825</li>
  <li><strong>Protein:</strong> 22 g</li>
  <li><strong>Heat Level:</strong> Medium</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Restaurant-style paneer masala, Basmati rice, Medium heat, Vegetarian, High-protein badge, Contains dairy and cashew nuts, Product of USA, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-restaurant-style-paneer-masala-and-basmati-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Dal Tadka & Basmati Rice","dal-tadka-and-basmati-rice","<p><strong>Enjoy the satisfying KwikMeal Rice and Dal Tadka with premium basmati rice. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Toor dal and moong dal</li>
  <li>Premium basmati rice</li>
  <li>Mild heat</li>
  <li>Vegetarian</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
  <li>Ovenable fiber tray</li>
</ul>

<h3>Ingredients</h3>
<p>Basmati Rice, Water, Toor Dal, Moong Dal, Onion, Garlic, Ginger, Fresh Green Pepper, Canola Oil, Ghee, Cilantro, Salt, Spices.</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 560</li>
  <li><strong>Protein:</strong> 16 g</li>
  <li><strong>Heat Level:</strong> Mild</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Toor dal and moong dal, Premium basmati rice, Mild heat, Vegetarian, No preservatives, No additives, No added color, Ovenable fiber tray","FALSE","DRAFT","KM-FHE-dal-tadka-and-basmati-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Sambar & Rice","sambar-and-rice","<p><strong>KwikMeal Fresh Sambar and Rice is a simple, nutritious meal for all ages. Great care has been taken to ensure the product is of the highest standard.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Toor dal and masoor dal</li>
  <li>Seasonal vegetables</li>
  <li>Coconut shreds and curry leaves</li>
  <li>Medium heat</li>
  <li>Vegetarian</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Rice, Toor Dal, Masoor Dal, Water, Tomato, Seasonal Vegetables, Canola Oil, Onion, Spices, Coconut Shreds, Curry Leaves.</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 400</li>
  <li><strong>Protein:</strong> 10 g</li>
  <li><strong>Heat Level:</strong> Medium</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Toor dal and masoor dal, Seasonal vegetables, Coconut shreds and curry leaves, Medium heat, Vegetarian, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-sambar-and-rice","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
"Tandoori Chicken","tandoori-chicken","<p><strong>KwikMeal Fresh Tandoori Chicken is made using a proprietary recipe with fresh yogurt, fresh ginger, fresh garlic, and aromatic spices to provide an authentic restaurant taste.</strong></p>

<h3>Product Highlights</h3>
<ul>
  <li>Tandoori chicken</li>
  <li>Proprietary recipe</li>
  <li>Fresh yogurt, ginger, and garlic</li>
  <li>Aromatic spices</li>
  <li>Mild-to-medium heat</li>
  <li>65 g protein</li>
  <li>High-protein badge</li>
  <li>Contains dairy</li>
  <li>Product of USA</li>
  <li>No preservatives</li>
  <li>No additives</li>
  <li>No added color</li>
</ul>

<h3>Ingredients</h3>
<p>Chicken, Basmati Rice, Yogurt, Water, Garlic, Ginger, Mustard Oil, Salt, Spices.</p>

<h3>Allergens</h3>
<p>Dairy</p>

<h3>Nutrition Info</h3>
<ul>
  <li><strong>Calories:</strong> 850</li>
  <li><strong>Protein:</strong> 65 g</li>
  <li><strong>Heat Level:</strong> Mild to Medium</li>
</ul>

<h3>Preparation & Storage</h3>
<p><strong>Storage:</strong> Keep refrigerated and consume within 4 days or freeze until ready to eat.</p>
<p><strong>Thawing:</strong> Always thaw in the refrigerator; this may take up to 12 hours. Alternatively, poke the top film with a fork and thaw in the microwave.</p>
<p><strong>Heating:</strong> Peel back the film from both compartments by approximately one inch. Microwave on HIGH for 2–3 minutes. The tray and contents will be hot. Carefully remove the tray. Let stand for 1 minute before serving.</p>
<p><strong>Food Safety:</strong> Heat until the internal temperature reaches 165°F / 74°C.</p>

<p><em>Our trays are fiber-based and molded from 100% plant-fiber pulp, a rapidly renewable material. Ovenable Tray.</em></p>","KwikMeal Fresh","Food, Beverages & Tobacco > Food Items > Prepared Foods","Non-Vegetarian Heat-N-Eat Meal","fresh-heat-n-eat, Heat-N-Eat, Tandoori chicken, Proprietary recipe, Fresh yogurt, ginger, and garlic, Aromatic spices, Mild-to-medium heat, 65 g protein, High-protein badge, Contains dairy, Product of USA, No preservatives, No additives, No added color","FALSE","DRAFT","KM-FHE-tandoori-chicken","","Title","Default Title","","","","","","","","10.99","","","TRUE","","","","","","shopify","0","CONTINUE","","g","TRUE","manual","","","","","FALSE","","","","","","","","","","","","","","","",""
